Name,Chromosome,Region,M1,M2,F1,F2,F3
Dagla,NC_051063.1,complement(4370855..4428884),3.958745952,3.683544135,4.864711359,2.333085577,3.406346788
Syt7,NC_051063.1,4509669..4571071,0.020568178,0.13119266,0.165669245,0.01359956,0.086687655
Lrrc10b,NC_051063.1,complement(4574595..4576622),0.169748319,0.129557147,0.169582812,0.124707336,0.218603496
LOC119087832,NC_051063.1,4576879..4577592,0,0,0,0,0
Ppp1r32,NC_051063.1,complement(4600809..4611593),0.346041592,0.430525605,0.395862171,0.465772833,0.319034611
Trnaa-agc_1,NC_051063.1,4615663..4615736,0,0,0,0,0
Sdhaf2,NC_051063.1,complement(4632011..4653318),44.11127849,44.10985443,38.56660844,46.32373305,40.91142272
Cpsf7,NC_051063.1,4653346..4680538,32.53433708,32.38714267,32.80427615,32.19033518,32.87760987
Tmem216,NC_051063.1,complement(4679022..4684175),13.72519614,10.08364613,13.35548713,10.86614229,12.82526389
Tmem138,NC_051063.1,complement(4711401..4720570),12.66474567,9.165722043,20.10299213,21.05477564,19.69747424
LOC114703422,NC_051063.1,4720719..4732503,19.08921293,13.41522593,20.44953461,25.52711935,19.60485656
Tkfc,NC_051063.1,complement(4736782..4750530),11.73460811,10.82755422,8.214874583,10.61173338,8.082267048
Ddb1,NC_051063.1,4750617..4777103,377.2619809,328.568541,361.1237871,504.9509071,380.1503028
Vwce,NC_051063.1,4781635..4811432,0.186235734,0.065603469,0.12880672,0.265220275,0.120756661
Pga3,NC_051063.1,complement(4814445..4824257),0,0,0,0,0.057411019
Vps37c,NC_051063.1,4833123..4861086,16.76824615,16.7684368,17.52542194,20.11484445,16.12247921
Cd5,NC_051063.1,complement(4864163..4888159),0,0,0,0,0
LOC119087837,NC_051063.1,4890119..4940617,0.038519592,0,0,0,0
Cd6,NC_051063.1,complement(4948181..4987912),0,0.043030117,0,0,0
Slc15a3,NC_051063.1,5002280..5019193,0.243457985,0.318539374,0.88167471,0.536576683,0.990461887
Tmem132a,NC_051063.1,complement(5019132..5030888),21.61668858,25.92565422,17.60102425,14.28560298,14.60103286
Tmem109,NC_051063.1,complement(5031841..5043889),62.43104925,65.36635375,77.18918692,57.85107663,65.65886754
Prpf19,NC_051063.1,5052223..5062995,138.2177482,145.850074,136.7692552,135.489859,121.4571004
Zp1,NC_051063.1,complement(5071072..5078419),0,0,0,0,0
Ptgdr2,NC_051063.1,5093593..5098058,0.056610688,0,0,0.024953772,0.019882849
Ccdc86,NC_051063.1,complement(5099437..5104404),33.18746054,38.73275408,29.86734693,33.58177103,27.16228988
Ms4a10,NC_051063.1,complement(5121016..5142463),0,0,0,0,0
Ms4a15,NC_051063.1,complement(5145245..5160321),0,0,0,0.044330671,0
Ms4a18,NC_051063.1,complement(5164637..5207093),0.128011896,0,0.115098374,0.033856289,0.026976262
LOC114703406,NC_051063.1,complement(5215605..5218905),3.686098969,1.887212326,2.611776621,3.461569093,4.052768932
Ms4a8,NC_051063.1,complement(5231656..5246956),0,0,0,0,0
LOC114703498,NC_051063.1,complement(5250035..5251747),0,0,0.028432039,0,0
LOC114703442,NC_051063.1,complement(5259189..5303352),0,0,0,0,0
LOC114703441,NC_051063.1,complement(5315752..5330323),0,0,0,0,0
Ms4a13,NC_051063.1,complement(5335806..5366754),0,0,0,0,0
LOC114703458,NC_051063.1,complement(5376094..5389856),0,0,0,0,0
Ms4a1,NC_051063.1,complement(5407715..5421958),0,0,0,0,0
LOC119087848,NC_051063.1,5422105..5477329,0,0,0,0,0
Ms4a5,NC_051063.1,complement(5428715..5438607),0,0,0,0,0
Ms4a14,NC_051063.1,complement(5446087..5459505),0,0,0,0,0
Ms4a7,NC_051063.1,complement(5464423..5474983),0,0,0,0,0
LOC114703405,NC_051063.1,5525244..5545116,0,0,0,0,0
LOC114703495,NC_051063.1,5545451..5561139,0,0,0,0,0
LOC114703404,NC_051063.1,5570141..5581946,0,0,0.022757672,0,0.234689196
Ms4a2,NC_051063.1,complement(5616928..5626702),0,0,0,0,0
Ms4a3,NC_051063.1,complement(5634006..5647977),0,0,0,0.044643685,0
Oosp2,NC_051063.1,complement(5652105..5659744),0,0,0,0,0
LOC114703401,NC_051063.1,complement(5708994..5742594),1.294920335,0.156393984,1.432974759,2.792509012,1.280445138
LOC114703402,NC_051063.1,5742396..5757101,0.024132463,0.071043324,0.027122551,0.095737468,0.025427467
LOC114703403,NC_051063.1,5759462..5774448,0,0.045718095,0,0.13862109,0
Mrpl16,NC_051063.1,5782690..5787447,46.24027384,43.32446122,48.12383802,51.16831228,44.66799388
Stx3,NC_051063.1,complement(5787818..5830924),3.736999686,5.590606374,2.656318054,4.199567802,3.147056856
LOC114703508,NC_051063.1,complement(5841171..5842305),0.084251001,0.033070094,0.265131894,0.133695054,0.142035367
LOC114703511,NC_051063.1,complement(5867547..5868544),0.134143127,0,0,0,0
LOC114703455,NC_051063.1,complement(5883611..5884621),0,0,0,0,0
LOC114703493,NC_051063.1,5916414..5917918,0,0.049879809,0,0,0
Patl1,NC_051063.1,5931884..5961460,20.19961884,21.22191895,19.22233284,22.19153972,18.36004395
LOC114703512,NC_051063.1,5946860..5946966,0,0,0,0,0
LOC114703395,NC_051063.1,5986311..6019875,63.23959016,55.06217604,57.13563729,58.71280277,57.40819387
Trnaf-gaa_1,NC_051063.1,6030379..6030451,0,0,0,0,0
Trnak-uuu_1,NC_051063.1,6034910..6034982,0,0,0,0,0
Trnaf-gaa_2,NC_051063.1,6037020..6037092,0,0,0,0,0
Trnak-uuu_2,NC_051063.1,complement(6038251..6038323),0,0,0,0,0
Trnal-uaa_1,NC_051063.1,complement(6039890..6039972),0,0,0,0,0
Trnar-ucu_1,NC_051063.1,complement(6040368..6040453),0,0,0,0,0
Trnav-uac_2,NC_051063.1,6040696..6040768,0,0,0,0,0
Trnav-uac_3,NC_051063.1,6041011..6041083,0,0,0,0,0
LOC114703492,NC_051063.1,complement(6053136..6054071),0,0,0,0,0
LOC114703491,NC_051063.1,complement(6070534..6071466),0,0,0,0,0
LOC114703488,NC_051063.1,complement(6100699..6101640),0,0,0,0,0
LOC114703487,NC_051063.1,complement(6111156..6112097),0,0,0,0,0
LOC114703486,NC_051063.1,complement(6128398..6129333),0,0,0,0,0
LOC114703485,NC_051063.1,complement(6139848..6140792),0,0,0,0,0
LOC114703505,NC_051063.1,complement(6150782..6151732),0,0,0,0,0
LOC114703381,NC_051063.1,complement(6181981..6183019),0,0,0,0,0
LOC114703453,NC_051063.1,6213300..6219622,0,0,0,0,0
LOC114703452,NC_051063.1,6238312..6239277,0,0,0,0,0
LOC114703378,NC_051063.1,complement(6249191..6250150),0,0,0,0,0
LOC114703483,NC_051063.1,complement(6267980..6268930),0,0,0,0,0
LOC114703482,NC_051063.1,6295807..6296754,0,0,0,0,0
LOC114703451,NC_051063.1,6326625..6327640,0,0,0,0,0
LOC114703450,NC_051063.1,6334154..6338622,0.02749817,0.017989243,0.01030176,0.551509451,9.66E-03
Mpeg1,NC_051063.1,6359797..6364216,9.24E-03,0.036247761,0.041515445,0.28087151,0.301636553
Dtx4,NC_051063.1,complement(6365247..6399140),1.467695984,1.425548926,1.443354568,2.80237012,1.629301797
LOC114703392,NC_051063.1,complement(6414315..6425414),0.068548306,0,0,0.022661871,0.054170075
LOC114703390,NC_051063.1,complement(6440386..6449786),0.288109414,0.668657207,0.354645834,0.205615022,0.22647288
LOC119087865,NC_051063.1,6449798..6464716,0,0,0,0,0
LOC114703391,NC_051063.1,complement(6457061..6473628),12.13805863,16.19954882,20.27823522,19.94627727,18.52492379
LOC114703448,NC_051063.1,6491875..6502588,19.39591935,26.11350865,39.79185992,50.24637143,40.55698636
LOC114703388,NC_051063.1,6512160..6535855,0,0,0.014727387,0,0
LOC119087869,NC_051063.1,complement(6532945..6539041),0,0,0,0,0
LOC114703387,NC_051063.1,6538970..6553503,0,0,0,0,0
LOC114703481,NC_051063.1,6574906..6575959,0,0,0,0,0
LOC114703480,NC_051063.1,6583277..6584218,0,0,0,0,0
LOC114703386,NC_051063.1,6634958..6652032,0,0,0,0,0
Cntf,NC_051063.1,complement(6704251..6709088),0.733602937,0.850769851,0.565041013,0.685181173,0.724321319
Zfp91,NC_051063.1,complement(6709269..6748659),49.19075277,54.32055961,55.41124154,61.51233294,58.30286932
Lpxn,NC_051063.1,6750105..6781313,2.874274039,3.404646277,3.469340846,3.013736582,3.360037975
LOC114703513,NC_051063.1,complement(6754978..6755102),0,0,0,0,0
LOC114703514,NC_051063.1,complement(6803766..6803869),0,0,0,0,0
LOC114703479,NC_051063.1,6807136..6808089,0,0,0,0,0
LOC114703477,NC_051063.1,6824224..6825168,0,0,0,0,0
LOC114703447,NC_051063.1,complement(6843361..6844284),0,0,0,0,0
LOC114703476,NC_051063.1,complement(6853695..6854639),0,0,0,0,0
LOC114703475,NC_051063.1,6868747..6869694,0,0,0,0,0
LOC114703474,NC_051063.1,6878102..6879082,0,0,0,0,0
LOC114703446,NC_051063.1,6904603..6905553,0,0,0,0,0
LOC114703473,NC_051063.1,6931387..6932313,0,0,0,0,0
LOC114703472,NC_051063.1,6946028..6946957,0,0,0,0,0
LOC114703471,NC_051063.1,6965184..6966110,0,0,0,0,0
LOC114703445,NC_051063.1,6975798..6976745,0,0,0,0,0
LOC114703469,NC_051063.1,7007795..7008724,0,0,0,0,0
LOC114703443,NC_051063.1,7037737..7038681,0,0,0,0,0
LOC114703468,NC_051063.1,7047666..7048598,0,0,0,0,0
LOC114703467,NC_051063.1,complement(7061725..7062654),0,0,0,0,0
LOC114703382,NC_051063.1,complement(7069625..7078297),0,0,0,0,0
LOC114703466,NC_051063.1,7080514..7081467,0,0,0,0,0
LOC114684269,NC_051063.1,complement(7106047..7107006),0,0,0,0,0
LOC114684286,NC_051063.1,7123600..7124037,0,0.04887312,0,0.065861062,0.157431779
LOC114684271,NC_051063.1,7138392..7139339,0,0,0,0,0
LOC114684298,NC_051063.1,7150676..7151623,0,0,0,0,0
LOC114684289,NC_051063.1,7177936..7178880,0,0,0,0,0
LOC114684283,NC_051063.1,7212343..7213287,0,0,0,0,0
LOC114684285,NC_051063.1,7238096..7239040,0,0,0,0,0
LOC114684282,NC_051063.1,7260314..7261258,0,0,0,0,0
LOC114684280,NC_051063.1,7289695..7290639,0,0,0,0,0
LOC114684281,NC_051063.1,7323737..7324681,0,0,0,0,0
LOC114684267,NC_051063.1,7377390..7378349,0,0,0,0,0
LOC114684272,NC_051063.1,7400303..7401307,0,0,0,0,0
LOC114684291,NC_051063.1,complement(7414613..7415557),0,0,0,0,0
LOC114684292,NC_051063.1,complement(7427612..7428562),0,0,0,0,0
LOC114684290,NC_051063.1,complement(7446034..7446978),0,0,0,0,0
LOC114684294,NC_051063.1,complement(7463998..7464933),0,0,0,0,0
LOC114684297,NC_051063.1,7531778..7532727,0,0,0,0,0
LOC114684300,NC_051063.1,7762177..7762302,0,0,0,0,0
Tle4,NC_051063.1,complement(8074139..8215182),5.297362122,5.566270108,5.43022014,15.22136813,7.736090404
LOC114696894,NC_051063.1,complement(8668107..8742182),6.871249315,6.396233016,5.491639795,6.764364843,6.465701178
LOC114696902,NC_051063.1,8826557..8828395,0.010399661,0,0,0,0
LOC114696907,NC_051063.1,8827526..8828572,0,0,0,0,0.038493348
LOC114696896,NC_051063.1,complement(9463117..9463608),0,0,0,0,0
Psat1,NC_051063.1,complement(9550684..9575157),69.98299266,73.86684709,92.44347389,52.37381737,86.40050601
LOC114696928,NC_051063.1,9565287..9565350,0,0,0,0,0
Cep78,NC_051063.1,complement(9601119..9634016),8.943870893,8.571804353,10.7640641,9.382968266,10.26411027
LOC114696911,NC_051063.1,9778712..10022948,38.68324538,40.40456796,42.48873869,54.75130771,44.44946095
Gna14,NC_051063.1,10087725..10248801,0.044754237,0.109792969,0.117365327,1.015965955,0.188623411
Vps13a,NC_051063.1,complement(10256524..10478409),8.900544135,10.80270727,8.027683888,12.16043205,10.28400545
Foxb2,NC_051063.1,complement(10594348..10595863),0,0,0,0,0
Prune2,NC_051063.1,10683622..10945635,3.629353357,4.098956254,6.718421324,43.80102286,10.91181284
Gcnt1,NC_051063.1,complement(11061014..11090958),9.8953745,11.35702239,9.911921259,21.49162333,17.4990265
Rfk,NC_051063.1,11139273..11147195,23.44779653,29.06507225,20.56762963,19.1359733,19.39860199
Pcsk5,NC_051063.1,complement(11171052..11596233),15.38279548,7.613227593,13.39433675,3.614714088,4.99271195
LOC114696929,NC_051063.1,11585231..11585330,0,0,0,0,0
Ostf1,NC_051063.1,complement(12220404..12267703),140.3897584,165.297045,128.5902986,176.8346953,133.1505189
Nmrk1,NC_051063.1,12267966..12296151,6.365362522,5.15013423,4.599805684,5.361209801,5.032743606
Carnmt1,NC_051063.1,12312066..12344891,25.51260594,22.15245615,23.08168709,24.75174882,26.09279615
C1H9orf40,NC_051063.1,12357066..12362469,7.829761358,8.533479241,10.4430267,20.49315787,14.14924802
Trpm6,NC_051063.1,12388112..12537334,0.021736016,0.010664741,6.11E-03,0.061079842,0.062981658
Rorb,NC_051063.1,complement(12580153..12763589),0.029992123,0.112819497,0.089888641,3.31E-03,0.09480471
LOC114696901,NC_051063.1,complement(13479394..13480173),0,0.096242452,0.220457655,0.194543444,0
Anxa1,NC_051063.1,complement(14035686..14055041),1147.396295,1177.693778,777.2713891,1311.222809,1075.59245
Aldh1a1,NC_051063.1,14137493..14259557,5.855885894,15.12106409,3.20372214,0.493769788,0.729283976
LOC114711023,NC_051063.1,complement(14151736..14151864),0,0,0,0,0
LOC114680605,NC_051063.1,14356904..14357009,0,0,0,0,0
LOC114709824,NC_051063.1,complement(14389924..14422988),23.75019527,56.1843816,7.437119782,0.746170204,8.84601919
LOC114710997,NC_051063.1,14414443..14414548,0,0,0,0,0
LOC114709833,NC_051063.1,complement(14457154..14494984),0.51159101,1.497700751,0.191659575,0,0.269522083
LOC114680601,NC_051063.1,14485855..14485961,0,0,0,0,0
Tmc1,NC_051063.1,complement(14563904..14684880),0,0,8.74E-03,0,0
Zfand5,NC_051063.1,15036475..15046276,70.62637443,82.22426975,66.94316596,70.85569483,80.33962335
Gda,NC_051063.1,complement(15143706..15229560),0.424922725,1.31533669,0.170838754,0.36090339,0.982811108
LOC119087900,NC_051063.1,complement(15250204..15307980),0,0,0,0,0
C1H9orf57,NC_051063.1,15308015..15316294,0,0,0,0,0
C1H9orf85,NC_051063.1,complement(15355966..15412195),17.92067888,20.74278109,22.04006761,18.96798574,22.46184544
Abhd17b,NC_051063.1,15412965..15447154,42.6646709,46.31137327,36.17724285,45.95641029,50.77083861
Cemip2,NC_051063.1,15551172..15634771,12.38701645,14.09171283,15.96151279,46.36428267,22.19098034
Trpm3,NC_051063.1,15903770..16738507,0.134087912,0.055876452,0.076383115,0.043721827,0.038707775
LOC119089085,NC_051063.1,complement(16671376..16675844),0.434359429,0.129162272,0.08875962,0.139246512,0.110949857
LOC119089015,NC_051063.1,complement(16695629..16715931),3.377918062,0.097492354,1.088688616,1.116729897,3.061945878
LOC119089144,NC_051063.1,complement(16742084..16748750),0.149575065,0.010122588,0.011593647,0.013641126,0.076083535
Klf9,NC_051063.1,16871863..16901545,28.09035437,34.03597756,20.47721713,23.29244247,27.22420498
Smc5,NC_051063.1,complement(16945420..17018244),32.11572926,31.89564386,31.74405666,32.00502053,33.13805686
LOC114710946,NC_051063.1,complement(17037464..17197541),24.5529538,27.10108673,14.54299922,25.95601415,26.37390211
C1H9orf135,NC_051063.1,complement(17321756..17424621),0,0,0.050935122,0.059930445,0.095503639
LOC119087462,NC_051063.1,17424697..17432097,0,0,0,0,0
LOC114709968,NC_051063.1,17438226..17438862,0,0.05892395,0.371178705,0.079405487,0
Ptar1,NC_051063.1,17468433..17506233,13.36571125,13.51547279,15.19279519,10.8914798,14.45789941
Apba1,NC_051063.1,17529206..17739405,4.198875945,3.13168953,4.359140634,4.097023311,4.488627392
Fam189a2,NC_051063.1,complement(17768385..17831188),4.426133432,2.572125932,3.316363415,5.116245095,3.530813019
Tjp2,NC_051063.1,complement(17885035..17963000),18.41776277,21.9452321,24.87269379,27.86248128,18.7745295
Fxn,NC_051063.1,complement(18045877..18064739),9.867962387,8.408469134,11.30792658,13.17199927,13.00502358
Pip5k1b,NC_051063.1,complement(18080203..18356687),0,0.041782437,0.015951482,0,0.014954559
Pabir1,NC_051063.1,complement(18275409..18277904),13.00283911,12.3385831,12.83132447,13.40525916,11.41582235
Tmem252,NC_051063.1,18471131..18475871,0.54458534,0.604715594,1.393244474,1.373976737,0.415256548
Pgm5,NC_051063.1,complement(18479698..18651159),130.2865836,91.68964756,282.6897938,292.6126295,227.4690253
LOC114710799,NC_051063.1,complement(18690058..18691404),0,0,0.031914805,0,0
Cbwd1,NC_051063.1,complement(18703142..18747213),31.63269069,33.10620249,30.29729674,26.0652903,32.97584087
LOC119087463,NC_051063.1,18750974..18756135,0,0,0,0,0
Dock8,NC_051063.1,18787838..18989663,4.910614355,2.835671048,2.433526631,2.377075969,3.460898448
LOC114711018,NC_051063.1,complement(18954774..18954903),0,0,0,0,0
Kank1,NC_051063.1,19025086..19236730,74.45291212,72.92933191,61.80620059,55.00931516,61.88406213
LOC119087911,NC_051063.1,complement(19059735..19068862),0,0,0,0,0
LOC119087910,NC_051063.1,complement(19186034..19186805),1.172412399,1.078579203,0.65883897,1.162788398,1.042306952
Dmrt1,NC_051063.1,19311687..19423765,0,8.61E-03,9.86E-03,0,0.018487402
Dmrt3,NC_051063.1,19430055..19443059,0.239168988,0.201167787,0.153601582,0,0.234003109
Dmrt2,NC_051063.1,19492670..19498817,0.219377044,0.184520555,0.07925096,0,0.165106659
Trnak-cuu_1,NC_051063.1,19815630..19815702,0,0,0,0,0
Smarca2,NC_051063.1,20362655..20534128,31.74105729,33.05224218,26.08527642,34.79321474,34.11330211
LOC119087916,NC_051063.1,complement(20378307..20380423),0,0,0,0,0
Vldlr,NC_051063.1,20962312..20996008,8.912368929,8.393700586,6.976373599,1.574489396,3.868581487
Kcnv2,NC_051063.1,21070482..21083519,0,0,7.46E-03,0.017556854,0
Pum3,NC_051063.1,complement(21138869..21174422),23.09431216,26.87571045,21.9925861,22.77789165,23.25553517
LOC119087918,NC_051063.1,21174642..21200069,0,0,0,0,0.197078413
LOC119087465,NC_051063.1,21314546..21321105,0,0,0,0,0
Rfx3,NC_051063.1,complement(21505574..21772120),1.079492577,1.185179467,1.406210913,1.818964134,1.164452579
Glis3,NC_051063.1,complement(22012361..22442066),13.908609,10.59678084,8.825682336,6.816831422,8.667849911
Slc1a1,NC_051063.1,22593989..22675176,0.488137509,0.614112504,1.18164149,0.264823536,0.606648113
Spata6l,NC_051063.1,complement(22687793..22737853),2.927825934,1.056877883,0.787391817,0.400999881,0.639023253
Plpp6,NC_051063.1,22733566..22736737,26.33000495,20.39432778,15.99899152,13.76952979,19.09034035
Cdc37l1,NC_051063.1,22749740..22780124,34.05992979,26.55852096,29.54013879,27.56333118,32.52787259
Ak3,NC_051063.1,complement(22783310..22812045),159.7197679,112.3662752,119.3306458,156.4803284,139.5790376
LOC119087925,NC_051063.1,22833094..22837060,0,0,0,0,0.023763287
LOC119087466,NC_051063.1,complement(22841014..22843101),0.096509557,0,0,0,0
Rcl1,NC_051063.1,22863586..22907704,15.06125488,16.10879974,15.85718212,17.06143271,15.40314295
LOC119087929,NC_051063.1,complement(22895924..22897166),0.051480423,0,0,0.136154227,0.108485964
LOC119087467,NC_051063.1,22921250..22922838,0.025949766,0.101857683,0,0,0.068355725
Jak2,NC_051063.1,23025084..23096749,61.56442858,60.40926359,59.98350749,54.07638482,64.63305984
Insl6,NC_051063.1,complement(23112042..23116247),0.311397187,0.458359574,0.291650222,0.171578342,0.16405374
LOC114710857,NC_051063.1,complement(23124096..23127323),0.049675266,0,0,0,0
Plgrkt,NC_051063.1,complement(23144097..23162104),45.62168843,39.93905009,45.48644634,36.41194223,45.02856571
Cd274,NC_051063.1,23168781..23187424,1.339855245,0.114330053,0.386287744,0.400582905,0.214832279
Pdcd1lg2,NC_051063.1,23219297..23275745,0.033435275,0,0,0,0.026422117
LOC119087931,NC_051063.1,complement(23284469..23305605),1.352660108,1.785560316,1.195648459,1.610504369,0.527493543
Ric1,NC_051063.1,23330935..23448667,21.62396732,21.59876944,21.8057123,23.7436501,23.60977997
Ermp1,NC_051063.1,complement(23430640..23475774),18.87706089,25.40185849,20.96919731,20.36833827,23.54712953
Mlana,NC_051063.1,23550637..23562347,1.871158185,0.811327155,0.244534942,0.172632407,0.550205263
Kiaa2026,NC_051063.1,complement(23570137..23653504),5.713713561,6.797358623,7.470902828,9.157159439,7.572385209
Ranbp6,NC_051063.1,complement(23655991..23660578),15.7193307,15.04900092,14.33130925,14.4864477,13.7474865
LOC114710866,NC_051063.1,23708292..23708735,0,0.042268644,0.048411309,0.113921836,0.090771476
Il33,NC_051063.1,23822366..23836452,0.340865285,0.119460714,0.259960411,0.450756292,0
LOC114711028,NC_051063.1,23862643..23862810,0,0,0,0,0
Tpd52l3,NC_051063.1,23887412..23889744,0,0,0,0,0
Uhrf2,NC_051063.1,23915688..24002897,63.12095021,68.83938008,70.85240428,71.77583511,76.61074837
Gldc,NC_051063.1,complement(24010492..24099253),9.116439632,5.6164129,6.967727111,4.990528744,8.686801741
LOC114711007,NC_051063.1,complement(24074837..24074942),0,0,0,0,0
Mbl2,NC_051063.1,24162787..24169439,0,0,0,0,0
Dkk1,NC_051063.1,complement(24504142..24506910),0.057046912,0.139949874,0.064115202,0,0.420757268
Prkg1,NC_051063.1,complement(24529086..25638579),9.473289131,5.913547085,14.65372449,6.621551387,12.39979985
Cstf2t,NC_051063.1,25047802..25051523,61.64490924,56.7052149,56.83196375,59.89711422,61.46623931
Trnaf-gaa_3,NC_051063.1,25054302..25054374,0,0,0,0,0
LOC114680596,NC_051063.1,complement(25494004..25494110),0,0,0,0,0
Grk5,NC_051063.1,complement(25822958..26036516),16.31450702,19.46872698,13.24458433,49.12353358,17.21417964
LOC114686127,NC_051063.1,25910997..25911125,0,0,0,0,0
Prdx3,NC_051063.1,26063024..26075985,119.2624986,115.7294811,119.6908032,148.4174888,119.2560816
Dennd10,NC_051063.1,complement(26094172..26116967),28.81905977,33.27317889,31.83110216,35.96376502,33.49300924
Eif3a,NC_051063.1,26146300..26179268,278.7823216,265.2004255,255.6752836,229.0954178,265.2369002
LOC114686129,NC_051063.1,26162325..26162451,0,0,0,0,0
LOC114686128,NC_051063.1,26163775..26163905,0,0,0,0,0
Nanos1,NC_051063.1,complement(26179537..26184385),0.37863432,0.472181467,0.461010646,0.318154157,0.432198772
LOC114686126,NC_051063.1,26220936..26260402,0.054255255,0,0.030488825,0.035873259,0
LOC119087985,NC_051063.1,26272504..26277423,0.046139873,0,0,0,0
Cacul1,NC_051063.1,26389908..26462160,52.61856744,58.5378783,55.24268116,89.60867193,56.90301463
Prlhr,NC_051063.1,26514101..26518871,0,0,0,0,0
Fam204a,NC_051063.1,26752900..26785864,27.43897682,29.62823971,25.86614417,28.48240363,29.56275506
LOC114701068,NC_051063.1,26811350..26899908,0,0.024500363,0.028060863,0,0.026307138
Rab11fip2,NC_051063.1,27032557..27071616,7.887476547,8.443313002,7.737648812,9.458059483,7.915296097
LOC114701077,NC_051063.1,27103938..27113146,0.575063749,1.354339659,0.683248274,0.8256397,1.384966855
Emx2,NC_051063.1,complement(27521694..27528281),20.11254834,26.5200805,20.641463,39.16882965,21.63446318
Pdzd8,NC_051063.1,27649343..27721737,24.96268102,31.55345194,29.80261695,36.27537428,32.13196398
Slc18a2,NC_051063.1,complement(27722984..27757638),0,0.018976014,0.021733692,0,0.020375397
LOC119087996,NC_051063.1,27728824..27733354,0.098048872,0.320716801,0.159174069,0.244910857,0.373065339
Kcnk18,NC_051063.1,complement(27780414..27793842),0,0,0,0,0
Vax1,NC_051063.1,27842504..27847458,0,0,0,0,0
LOC119087997,NC_051063.1,27964250..28002499,0.450311099,0.46788228,0.327480381,0.035028598,0.167462059
LOC119087998,NC_051063.1,complement(28004147..28028513),0.130992995,0.07561353,0.147223434,0.020379249,0.121784455
Eno4,NC_051063.1,complement(28029647..28053512),0.873528373,0.753288672,0.870197475,0.560069706,0.88554014
Hspa12a,NC_051063.1,28052555..28210881,0.239258975,0.3336405,0.272442115,0.054119905,0.331708111
LOC114701063,NC_051063.1,28155881..28161809,0,0,0,0,0
C1H10orf82,NC_051063.1,28212004..28219438,0,0,0,0,0
LOC114701045,NC_051063.1,complement(28229294..28245975),0,0,0,0,0
Pnliprp1,NC_051063.1,complement(28262630..28278137),0,0,0,0,0
LOC114701058,NC_051063.1,complement(28291095..28318049),0,0,0,0,0
LOC114701057,NC_051063.1,complement(28333468..28347938),0,0,0,0,0
Ccdc172,NC_051063.1,complement(28513016..28568628),0.012870106,0.101035145,0.137415143,0,0.067803727
